index,hma_diff
2840,0.501809089
2841,0.599945531
2842,0.649678821
2843,0.672262974
2844,0.629246962
2845,0.617076806
2846,0.613811226
2847,0.530086023
2848,0.507375515
2849,0.527884211
2850,0.448162225
2851,0.400800643
2852,0.452704156
2853,0.517484726
2854,0.588665833
2855,0.63341922
2856,0.576316392
2857,0.539389298
2858,0.540464165
2859,0.571749702
2860,0.548601222
2861,0.609346133
2862,0.626986241
2863,0.67025667
2864,0.577314421
2865,0.561444983
2866,0.593580851
2867,0.661878857
2868,0.692552258
2869,0.756228934
2870,0.747868195
2871,0.685694113
2872,0.631517927
2873,0.629945326
2874,0.619744764
2875,0.591570279
2876,0.589663863
2877,0.580919792
2878,0.56480106
2879,0.486604719
2880,0.533992767
2881,0.641601526
2882,0.797809799
2883,0.809409651
2884,0.773147626
2885,0.693404297
2886,0.586562202
2887,0.558063293
2888,0.588141633
2889,0.543847562
2890,0.532211852
2891,0.566215718
2892,0.51330393
2893,0.504458264
2894,0.553646009
2895,0.598777606
2896,0.652770236
2897,0.676414743
2898,0.651525474
2899,0.607408982
2900,0.569368603
2901,0.550741564
2902,0.550106377
2903,0.543081751
2904,0.651323136
2905,0.673496638
2906,0.682659044
2907,0.706204517
2908,0.737476394
2909,0.68696961
2910,0.638808921
2911,0.529152025
2912,0.513384182
2913,0.502957378
2914,0.56476691
2915,0.634026234
2916,0.696498274
2917,0.694083879
2918,0.643671007
2919,0.609136111
2920,0.681169257
2921,0.698599344
2922,0.670622074
2923,0.632926609
2924,0.585236334
2925,0.564827526
2926,0.588155293
2927,0.606993208
2928,0.618139721
2929,0.568171651
2930,0.502772115
2931,0.363217019
2932,0.345139792
2933,0.444949578
2934,0.787814136
2935,0.994180864
2936,1
2937,0.921799967
2938,0.781346279
2939,0.621991767
2940,0.576227034
2941,0.481788772
2942,0.526938369
2943,0.544981595
2944,0.553562809
2945,0.514221079
2946,0.47316565
2947,0.433952635
2948,0.441590941
2949,0.464432523
2950,0.506699514
2951,0.558699415
2952,0.583850374
2953,0.548849016
2954,0.542424517
2955,0.532448396
2956,0.523403959
2957,0.474686277
2958,0.425964853
2959,0.35834111
2960,0.415781443
2961,0.48026141
2962,0.538055708
2963,0.574618852
2964,0.576883329
2965,0.554516943
2966,0.514915539
2967,0.571016343
2968,0.575382159
2969,0.531982929
2970,0.521616175
2971,0.554790087
2972,0.534937375
2973,0.512956385
2974,0.492748211
2975,0.477487314
2976,0.45458811
2977,0.460975192
2978,0.50066041
2979,0.595846264
2980,0.574014193
2981,0.549001677
2982,0.523788606
2983,0.45514712
2984,0.403589488
2985,0.445717288
2986,0.530794565
2987,0.590052616
2988,0.61950653
2989,0.581871763
2990,0.548676149
2991,0.520237733
2992,0.495713134
2993,0.494244891
2994,0.538155237
2995,0.617349065
2996,0.729506522
2997,0.765750125
2998,0.721303967
2999,0.677529819
3000,0.636051579
3001,0.567346484
3002,0.47558204
3003,0.422033823
3004,0.419267959
3005,0.440600887
3006,0.47446402
3007,0.49202307
3008,0.536571001
3009,0.575642581
3010,0.59404501
3011,0.619639734
3012,0.615948921
3013,0.579411969
3014,0.532465608
3015,0.510397062
3016,0.484598789
3017,0.484142301
3018,0.533344159
3019,0.516435417
3020,0.503387361
3021,0.500513735
3022,0.53190136
3023,0.551099274
3024,0.530439852
3025,0.461270038
3026,0.450412373
3027,0.451602982
3028,0.435805524
3029,0.422095936
3030,0.441688225
3031,0.457672767
3032,0.377079543
3033,0.332964901
3034,0.328492821
3035,0.380795051
3036,0.457835157
3037,0.535562987
3038,0.564330673
3039,0.565935863
3040,0.559687224
3041,0.529540347
3042,0.52701919
3043,0.492091169
